Date,Date2,Households,Firms,Notes
31-Jan-21,2021-01-31,1332275,425649,Monthly amounts outstanding of monetary financial institutions' sterling net secured lending to individuals (in sterling millions) seasonally adjusted              [a] [b] [c] [d] [e] [f] [g] [h] [i] [i] [j] [k] [l] [m]             LPMBC55
31-Dec-20,2020-12-31,1327587,428476,Monthly amounts outstanding of monetary financial institutions' sterling loans  to private non-financial corporations (in sterling millions) seasonally adjusted              [a] [n] [o] [p] [f] [q] [r] [s] [t] [u] [v] [w] [w] [x] [y] [z] [1] [2]             LPMZ5MO
30-Nov-20,2020-11-30,1322612,427626,
31-Oct-20,2020-10-31,1317348,426325,
30-Sep-20,2020-09-30,1312624,429098,
31-Aug-20,2020-08-31,1308645,430341,
31-Jul-20,2020-07-31,1305683,432036,
30-Jun-20,2020-06-30,1303277,433852,
31-May-20,2020-05-31,1301216,431750,
30-Apr-20,2020-04-30,1300079,420754,
31-Mar-20,2020-03-31,1299614,420232,
29-Feb-20,2020-02-29,1295879,390682,
31-Jan-20,2020-01-31,1292524,392026,
31-Dec-19,2019-12-31,1289373,393131,
30-Nov-19,2019-11-30,1283886,394356,
31-Oct-19,2019-10-31,1281213,393814,
30-Sep-19,2019-09-30,1277434,391263,
31-Aug-19,2019-08-31,1274127,389883,
31-Jul-19,2019-07-31,1269735,387700,
30-Jun-19,2019-06-30,1265780,388404,
31-May-19,2019-05-31,1262089,386067,
30-Apr-19,2019-04-30,1258805,385755,
31-Mar-19,2019-03-31,1255001,386759,
28-Feb-19,2019-02-28,1251820,385937,
31-Jan-19,2019-01-31,1248667,385940,
31-Dec-18,2018-12-31,1246030,383341,
30-Nov-18,2018-11-30,1243138,381885,
31-Oct-18,2018-10-31,1240413,378659,
30-Sep-18,2018-09-30,1234019,377536,
31-Aug-18,2018-08-31,1230236,376920,
31-Jul-18,2018-07-31,1227363,376837,
30-Jun-18,2018-06-30,1223953,375661,
31-May-18,2018-05-31,1220473,373265,
30-Apr-18,2018-04-30,1216893,373139,
31-Mar-18,2018-03-31,1214100,338393,
28-Feb-18,2018-02-28,1209868,337726,
31-Jan-18,2018-01-31,1207409,335875,
31-Dec-17,2017-12-31,1204642,335479,
30-Nov-17,2017-11-30,1201635,335192,
31-Oct-17,2017-10-31,1198087,335082,
30-Sep-17,2017-09-30,1195212,335661,
31-Aug-17,2017-08-31,1185827,328517,
31-Jul-17,2017-07-31,1181954,328980,
30-Jun-17,2017-06-30,1178520,361980,
31-May-17,2017-05-31,1173906,361793,
30-Apr-17,2017-04-30,1169085,359678,
31-Mar-17,2017-03-31,1166252,358138,
28-Feb-17,2017-02-28,1162777,354910,
31-Jan-17,2017-01-31,1158923,354137,
31-Dec-16,2016-12-31,1155216,352462,
30-Nov-16,2016-11-30,1152976,353189,
31-Oct-16,2016-10-31,1150928,352940,
30-Sep-16,2016-09-30,1147219,352705,
31-Aug-16,2016-08-31,1143390,354719,
31-Jul-16,2016-07-31,1140151,353590,
30-Jun-16,2016-06-30,1137000,352719,
31-May-16,2016-05-31,1133922,350754,
30-Apr-16,2016-04-30,1130988,350555,
31-Mar-16,2016-03-31,1123557,350952,
29-Feb-16,2016-02-29,1117017,351016,
31-Jan-16,2016-01-31,1113739,349240,
31-Dec-15,2015-12-31,1109921,345589,
30-Nov-15,2015-11-30,1104302,345719,
31-Oct-15,2015-10-31,1100002,345402,
30-Sep-15,2015-09-30,1096462,344197,
31-Aug-15,2015-08-31,1093271,343855,
31-Jul-15,2015-07-31,1089821,344265,
30-Jun-15,2015-06-30,1086395,343425,
31-May-15,2015-05-31,1083672,347390,
30-Apr-15,2015-04-30,1081150,349581,
31-Mar-15,2015-03-31,1079363,352730,
28-Feb-15,2015-02-28,1077816,350317,
31-Jan-15,2015-01-31,1074475,350521,
31-Dec-14,2014-12-31,1074628,351151,
30-Nov-14,2014-11-30,1072999,353730,
31-Oct-14,2014-10-31,1070743,355437,
30-Sep-14,2014-09-30,1069077,358386,
31-Aug-14,2014-08-31,1067085,360607,
31-Jul-14,2014-07-31,1065283,360919,
30-Jun-14,2014-06-30,1063018,361053,
31-May-14,2014-05-31,1060907,361063,
30-Apr-14,2014-04-30,1059021,361477,
31-Mar-14,2014-03-31,1056358,362011,
28-Feb-14,2014-02-28,1053473,367162,
31-Jan-14,2014-01-31,1051197,368062,
31-Dec-13,2013-12-31,1048904,370925,
30-Nov-13,2013-11-30,1047285,370496,
31-Oct-13,2013-10-31,1043425,369066,
30-Sep-13,2013-09-30,1041352,369184,
31-Aug-13,2013-08-31,1040058,369805,
31-Jul-13,2013-07-31,1039426,372783,
30-Jun-13,2013-06-30,1038383,373614,
31-May-13,2013-05-31,1037192,374809,
30-Apr-13,2013-04-30,1036766,377205,
31-Mar-13,2013-03-31,1035944,383893,
28-Feb-13,2013-02-28,1035888,384952,
31-Jan-13,2013-01-31,1035288,389052,
31-Dec-12,2012-12-31,1035034,387095,
30-Nov-12,2012-11-30,1034226,389375,
31-Oct-12,2012-10-31,1033506,393054,
30-Sep-12,2012-09-30,1033049,394072,
31-Aug-12,2012-08-31,1032326,396370,
31-Jul-12,2012-07-31,1032297,399279,
30-Jun-12,2012-06-30,1030248,400340,
31-May-12,2012-05-31,1022204,401067,
30-Apr-12,2012-04-30,1021946,399534,
31-Mar-12,2012-03-31,1019822,400439,
29-Feb-12,2012-02-29,1018372,400291,
31-Jan-12,2012-01-31,1017012,403003,
31-Dec-11,2011-12-31,1014082,404197,
30-Nov-11,2011-11-30,1014665,408049,
31-Oct-11,2011-10-31,1014060,406885,
30-Sep-11,2011-09-30,1012950,411688,
31-Aug-11,2011-08-31,1012113,411880,
31-Jul-11,2011-07-31,1011032,411324,
30-Jun-11,2011-06-30,1010160,413243,
31-May-11,2011-05-31,1009248,416758,
30-Apr-11,2011-04-30,1008049,420563,
31-Mar-11,2011-03-31,1007593,420204,
28-Feb-11,2011-02-28,1007577,421368,
31-Jan-11,2011-01-31,1007036,424834,
31-Dec-10,2010-12-31,1005500,426159,
30-Nov-10,2010-11-30,1005317,433687,
31-Oct-10,2010-10-31,1004458,437916,
30-Sep-10,2010-09-30,1003609,447454,
31-Aug-10,2010-08-31,1002397,451261,
31-Jul-10,2010-07-31,1029192,453150,
30-Jun-10,2010-06-30,1028126,456069,
31-May-10,2010-05-31,1026811,456051,
30-Apr-10,2010-04-30,1025484,458191,
31-Mar-10,2010-03-31,1024812,460573,
28-Feb-10,2010-02-28,1024331,463373,
31-Jan-10,2010-01-31,1022969,464155,
31-Dec-09,2009-12-31,1108713,472940,
30-Nov-09,2009-11-30,1106106,472063,
31-Oct-09,2009-10-31,1102856,474344,
30-Sep-09,2009-09-30,1101643,475756,
31-Aug-09,2009-08-31,1099342,479957,
31-Jul-09,2009-07-31,1097759,479978,
30-Jun-09,2009-06-30,1095883,488253,
31-May-09,2009-05-31,1093872,490517,
30-Apr-09,2009-04-30,1092477,490302,
31-Mar-09,2009-03-31,1090930,494640,
28-Feb-09,2009-02-28,1088979,495983,
31-Jan-09,2009-01-31,1086770,495324,
31-Dec-08,2008-12-31,1084506,492582,
30-Nov-08,2008-11-30,1081934,492749,
31-Oct-08,2008-10-31,1077826,495389,
30-Sep-08,2008-09-30,1073934,492532,
31-Aug-08,2008-08-31,1070589,488670,
31-Jul-08,2008-07-31,1068940,487420,
30-Jun-08,2008-06-30,1062024,484494,
31-May-08,2008-05-31,1056430,481023,
30-Apr-08,2008-04-30,1051441,478965,
31-Mar-08,2008-03-31,1045299,473106,
29-Feb-08,2008-02-29,1038565,466375,
31-Jan-08,2008-01-31,1030858,455850,
31-Dec-07,2007-12-31,1022068,455990,
30-Nov-07,2007-11-30,1016360,452521,
31-Oct-07,2007-10-31,1010242,446741,
30-Sep-07,2007-09-30,997056,439259,
31-Aug-07,2007-08-31,988620,433752,
31-Jul-07,2007-07-31,981291,427137,
30-Jun-07,2007-06-30,973601,419941,
31-May-07,2007-05-31,965674,415330,
30-Apr-07,2007-04-30,957234,410203,
31-Mar-07,2007-03-31,949815,404613,
28-Feb-07,2007-02-28,943405,400210,
31-Jan-07,2007-01-31,936671,396637,
31-Dec-06,2006-12-31,928662,395119,
30-Nov-06,2006-11-30,920751,389579,
31-Oct-06,2006-10-31,912650,386154,
30-Sep-06,2006-09-30,903939,384678,
31-Aug-06,2006-08-31,895770,379550,
31-Jul-06,2006-07-31,887500,373870,
30-Jun-06,2006-06-30,879440,367137,
31-May-06,2006-05-31,871224,362015,
30-Apr-06,2006-04-30,864482,357280,
31-Mar-06,2006-03-31,857097,353624,
28-Feb-06,2006-02-28,849682,348077,
31-Jan-06,2006-01-31,843464,346537,
31-Dec-05,2005-12-31,836854,341819,
30-Nov-05,2005-11-30,830509,340841,
31-Oct-05,2005-10-31,823957,337506,
30-Sep-05,2005-09-30,817527,335057,
31-Aug-05,2005-08-31,810960,330765,
31-Jul-05,2005-07-31,804714,306868,
30-Jun-05,2005-06-30,798949,306208,
31-May-05,2005-05-31,793241,298888,
30-Apr-05,2005-04-30,787449,296694,
31-Mar-05,2005-03-31,781516,293565,
28-Feb-05,2005-02-28,775498,290060,
31-Jan-05,2005-01-31,770640,286680,
31-Dec-04,2004-12-31,764607,281980,
30-Nov-04,2004-11-30,757815,276202,
31-Oct-04,2004-10-31,753157,278181,
30-Sep-04,2004-09-30,746172,275618,
31-Aug-04,2004-08-31,750486,273303,
31-Jul-04,2004-07-31,744083,272990,
30-Jun-04,2004-06-30,736534,269906,
31-May-04,2004-05-31,729646,268725,
30-Apr-04,2004-04-30,723172,267594,
31-Mar-04,2004-03-31,715436,266139,
29-Feb-04,2004-02-29,707340,267761,
31-Jan-04,2004-01-31,699791,265467,
31-Dec-03,2003-12-31,691863,263886,
30-Nov-03,2003-11-30,684969,261290,
31-Oct-03,2003-10-31,677416,259098,
30-Sep-03,2003-09-30,668900,258929,
31-Aug-03,2003-08-31,661984,259224,
31-Jul-03,2003-07-31,656184,259603,
30-Jun-03,2003-06-30,648931,260995,
31-May-03,2003-05-31,642439,259747,
30-Apr-03,2003-04-30,635875,258045,
31-Mar-03,2003-03-31,630574,255906,
28-Feb-03,2003-02-28,624388,254388,
31-Jan-03,2003-01-31,618148,252786,
31-Dec-02,2002-12-31,611651,253860,
30-Nov-02,2002-11-30,605619,249138,
31-Oct-02,2002-10-31,598562,246511,
30-Sep-02,2002-09-30,591917,240586,
31-Aug-02,2002-08-31,585909,239511,
31-Jul-02,2002-07-31,579766,236553,
30-Jun-02,2002-06-30,574094,234253,
31-May-02,2002-05-31,568315,232367,
30-Apr-02,2002-04-30,562167,228992,
31-Mar-02,2002-03-31,556752,229405,
28-Feb-02,2002-02-28,551545,228295,
31-Jan-02,2002-01-31,546451,227840,
31-Dec-01,2001-12-31,541966,228675,
30-Nov-01,2001-11-30,537536,229086,
31-Oct-01,2001-10-31,533350,229074,
30-Sep-01,2001-09-30,529320,227951,
31-Aug-01,2001-08-31,525010,225992,
31-Jul-01,2001-07-31,520834,224246,
30-Jun-01,2001-06-30,516695,222152,
31-May-01,2001-05-31,512839,217393,
30-Apr-01,2001-04-30,509176,219120,
31-Mar-01,2001-03-31,505392,217571,
28-Feb-01,2001-02-28,501628,215316,
31-Jan-01,2001-01-31,498245,212915,
31-Dec-00,2000-12-31,494972,208932,
30-Nov-00,2000-11-30,485375,206460,
31-Oct-00,2000-10-31,482448,206344,
30-Sep-00,2000-09-30,479751,204779,
31-Aug-00,2000-08-31,477209,202906,
31-Jul-00,2000-07-31,474568,199816,
30-Jun-00,2000-06-30,472069,198065,
31-May-00,2000-05-31,468746,199836,
30-Apr-00,2000-04-30,466109,194466,
31-Mar-00,2000-03-31,463007,190120,
29-Feb-00,2000-02-29,459681,187380,
31-Jan-00,2000-01-31,456868,185981,
31-Dec-99,1999-12-31,453774,184450,
30-Nov-99,1999-11-30,450881,181863,
31-Oct-99,1999-10-31,447979,179238,
30-Sep-99,1999-09-30,444657,178124,
31-Aug-99,1999-08-31,441530,177188,
31-Jul-99,1999-07-31,438723,177289,
30-Jun-99,1999-06-30,435806,177428,
31-May-99,1999-05-31,433048,177683,
30-Apr-99,1999-04-30,430358,177273,
31-Mar-99,1999-03-31,428230,175760,
28-Feb-99,1999-02-28,425700,176127,
31-Jan-99,1999-01-31,423511,175191,
31-Dec-98,1998-12-31,421419,174550,
30-Nov-98,1998-11-30,419342,174430,
31-Oct-98,1998-10-31,417568,172233,
30-Sep-98,1998-09-30,414637,172894,
31-Aug-98,1998-08-31,412937,171810,
31-Jul-98,1998-07-31,411021,171198,
30-Jun-98,1998-06-30,409090,170421,
31-May-98,1998-05-31,407308,169654,
30-Apr-98,1998-04-30,405597,169568,
31-Mar-98,1998-03-31,403679,169657,
28-Feb-98,1998-02-28,402134,172399,
31-Jan-98,1998-01-31,400260,168870,
31-Dec-97,1997-12-31,398498,168351,
30-Nov-97,1997-11-30,396856,168194,
31-Oct-97,1997-10-31,395094,168164,
30-Sep-97,1997-09-30,393361,167678,
31-Aug-97,1997-08-31,392617,null,
31-Jul-97,1997-07-31,390810,null,
30-Jun-97,1997-06-30,389791,null,
31-May-97,1997-05-31,387871,null,
30-Apr-97,1997-04-30,385949,null,
31-Mar-97,1997-03-31,384625,null,
28-Feb-97,1997-02-28,382700,null,
31-Jan-97,1997-01-31,380809,null,
31-Dec-96,1996-12-31,379012,null,
30-Nov-96,1996-11-30,376807,null,
31-Oct-96,1996-10-31,374891,null,
30-Sep-96,1996-09-30,373044,null,
31-Aug-96,1996-08-31,371211,null,
31-Jul-96,1996-07-31,369658,null,
30-Jun-96,1996-06-30,368071,null,
31-May-96,1996-05-31,366182,null,
30-Apr-96,1996-04-30,364630,null,
31-Mar-96,1996-03-31,363260,null,
29-Feb-96,1996-02-29,361787,null,
31-Jan-96,1996-01-31,360406,null,
31-Dec-95,1995-12-31,359043,null,
30-Nov-95,1995-11-30,357654,null,
31-Oct-95,1995-10-31,356425,null,
30-Sep-95,1995-09-30,355532,null,
31-Aug-95,1995-08-31,353917,null,
31-Jul-95,1995-07-31,353068,null,
30-Jun-95,1995-06-30,351990,null,
31-May-95,1995-05-31,350638,null,
30-Apr-95,1995-04-30,349418,null,
31-Mar-95,1995-03-31,347954,null,
28-Feb-95,1995-02-28,346606,null,
31-Jan-95,1995-01-31,345109,null,
31-Dec-94,1994-12-31,343616,null,
30-Nov-94,1994-11-30,342163,null,
31-Oct-94,1994-10-31,340720,null,
30-Sep-94,1994-09-30,339182,null,
31-Aug-94,1994-08-31,337737,null,
31-Jul-94,1994-07-31,336164,null,
30-Jun-94,1994-06-30,334268,null,
31-May-94,1994-05-31,332809,null,
30-Apr-94,1994-04-30,331264,null,
31-Mar-94,1994-03-31,329552,null,
28-Feb-94,1994-02-28,327882,null,
31-Jan-94,1994-01-31,326386,null,
31-Dec-93,1993-12-31,324808,null,
30-Nov-93,1993-11-30,323225,null,
31-Oct-93,1993-10-31,321750,null,
30-Sep-93,1993-09-30,320128,null,
31-Aug-93,1993-08-31,318478,null,
31-Jul-93,1993-07-31,317020,null,
30-Jun-93,1993-06-30,315562,null,
31-May-93,1993-05-31,314263,null,
30-Apr-93,1993-04-30,312706,null,
