Entry,Type,Value,Leverage,House Value,Entry2,LevRatio
Assets,House,200000,1,200000,A,A. 1
Assets,House,210000,1,210000,A,A. 1
Assets,House,220000,1,220000,A,A. 1
Assets,House,230000,1,230000,A,A. 1
Assets,House,240000,1,240000,A,A. 1
Assets,House,250000,1,250000,A,A. 1
Assets,House,260000,1,260000,A,A. 1
Assets,House,270000,1,270000,A,A. 1
Assets,House,280000,1,280000,A,A. 1
Assets,House,290000,1,290000,A,A. 1
Assets,House,300000,1,300000,A,A. 1
Assets,House,310000,1,310000,A,A. 1
Assets,House,320000,1,320000,A,A. 1
Assets,House,330000,1,330000,A,A. 1
Assets,House,340000,1,340000,A,A. 1
Assets,House,350000,1,350000,A,A. 1
Assets,House,360000,1,360000,A,A. 1
Assets,House,370000,1,370000,A,A. 1
Assets,House,380000,1,380000,A,A. 1
Assets,House,390000,1,390000,A,A. 1
Assets,House,400000,1,400000,A,A. 1
Liabilities,Debt,0,1,200000,L,A. 1
Liabilities,Debt,0,1,210000,L,A. 1
Liabilities,Debt,0,1,220000,L,A. 1
Liabilities,Debt,0,1,230000,L,A. 1
Liabilities,Debt,0,1,240000,L,A. 1
Liabilities,Debt,0,1,250000,L,A. 1
Liabilities,Debt,0,1,260000,L,A. 1
Liabilities,Debt,0,1,270000,L,A. 1
Liabilities,Debt,0,1,280000,L,A. 1
Liabilities,Debt,0,1,290000,L,A. 1
Liabilities,Debt,0,1,300000,L,A. 1
Liabilities,Debt,0,1,310000,L,A. 1
Liabilities,Debt,0,1,320000,L,A. 1
Liabilities,Debt,0,1,330000,L,A. 1
Liabilities,Debt,0,1,340000,L,A. 1
Liabilities,Debt,0,1,350000,L,A. 1
Liabilities,Debt,0,1,360000,L,A. 1
Liabilities,Debt,0,1,370000,L,A. 1
Liabilities,Debt,0,1,380000,L,A. 1
Liabilities,Debt,0,1,390000,L,A. 1
Liabilities,Debt,0,1,400000,L,A. 1
Liabilities,Equity,200000,1,200000,L,A. 1
Liabilities,Equity,210000,1,210000,L,A. 1
Liabilities,Equity,220000,1,220000,L,A. 1
Liabilities,Equity,230000,1,230000,L,A. 1
Liabilities,Equity,240000,1,240000,L,A. 1
Liabilities,Equity,250000,1,250000,L,A. 1
Liabilities,Equity,260000,1,260000,L,A. 1
Liabilities,Equity,270000,1,270000,L,A. 1
Liabilities,Equity,280000,1,280000,L,A. 1
Liabilities,Equity,290000,1,290000,L,A. 1
Liabilities,Equity,300000,1,300000,L,A. 1
Liabilities,Equity,310000,1,310000,L,A. 1
Liabilities,Equity,320000,1,320000,L,A. 1
Liabilities,Equity,330000,1,330000,L,A. 1
Liabilities,Equity,340000,1,340000,L,A. 1
Liabilities,Equity,350000,1,350000,L,A. 1
Liabilities,Equity,360000,1,360000,L,A. 1
Liabilities,Equity,370000,1,370000,L,A. 1
Liabilities,Equity,380000,1,380000,L,A. 1
Liabilities,Equity,390000,1,390000,L,A. 1
Liabilities,Equity,400000,1,400000,L,A. 1
Assets,House,200000,2,200000,A,B. 2
Assets,House,210000,2,210000,A,B. 2
Assets,House,220000,2,220000,A,B. 2
Assets,House,230000,2,230000,A,B. 2
Assets,House,240000,2,240000,A,B. 2
Assets,House,250000,2,250000,A,B. 2
Assets,House,260000,2,260000,A,B. 2
Assets,House,270000,2,270000,A,B. 2
Assets,House,280000,2,280000,A,B. 2
Assets,House,290000,2,290000,A,B. 2
Assets,House,300000,2,300000,A,B. 2
Assets,House,310000,2,310000,A,B. 2
Assets,House,320000,2,320000,A,B. 2
Assets,House,330000,2,330000,A,B. 2
Assets,House,340000,2,340000,A,B. 2
Assets,House,350000,2,350000,A,B. 2
Assets,House,360000,2,360000,A,B. 2
Assets,House,370000,2,370000,A,B. 2
Assets,House,380000,2,380000,A,B. 2
Assets,House,390000,2,390000,A,B. 2
Assets,House,400000,2,400000,A,B. 2
Liabilities,Debt,150000,2,200000,L,B. 2
Liabilities,Debt,150000,2,210000,L,B. 2
Liabilities,Debt,150000,2,220000,L,B. 2
Liabilities,Debt,150000,2,230000,L,B. 2
Liabilities,Debt,150000,2,240000,L,B. 2
Liabilities,Debt,150000,2,250000,L,B. 2
Liabilities,Debt,150000,2,260000,L,B. 2
Liabilities,Debt,150000,2,270000,L,B. 2
Liabilities,Debt,150000,2,280000,L,B. 2
Liabilities,Debt,150000,2,290000,L,B. 2
Liabilities,Debt,150000,2,300000,L,B. 2
Liabilities,Debt,150000,2,310000,L,B. 2
Liabilities,Debt,150000,2,320000,L,B. 2
Liabilities,Debt,150000,2,330000,L,B. 2
Liabilities,Debt,150000,2,340000,L,B. 2
Liabilities,Debt,150000,2,350000,L,B. 2
Liabilities,Debt,150000,2,360000,L,B. 2
Liabilities,Debt,150000,2,370000,L,B. 2
Liabilities,Debt,150000,2,380000,L,B. 2
Liabilities,Debt,150000,2,390000,L,B. 2
Liabilities,Debt,150000,2,400000,L,B. 2
Liabilities,Equity,50000,2,200000,L,B. 2
Liabilities,Equity,60000,2,210000,L,B. 2
Liabilities,Equity,70000,2,220000,L,B. 2
Liabilities,Equity,80000,2,230000,L,B. 2
Liabilities,Equity,90000,2,240000,L,B. 2
Liabilities,Equity,100000,2,250000,L,B. 2
Liabilities,Equity,110000,2,260000,L,B. 2
Liabilities,Equity,120000,2,270000,L,B. 2
Liabilities,Equity,130000,2,280000,L,B. 2
Liabilities,Equity,140000,2,290000,L,B. 2
Liabilities,Equity,150000,2,300000,L,B. 2
Liabilities,Equity,160000,2,310000,L,B. 2
Liabilities,Equity,170000,2,320000,L,B. 2
Liabilities,Equity,180000,2,330000,L,B. 2
Liabilities,Equity,190000,2,340000,L,B. 2
Liabilities,Equity,200000,2,350000,L,B. 2
Liabilities,Equity,210000,2,360000,L,B. 2
Liabilities,Equity,220000,2,370000,L,B. 2
Liabilities,Equity,230000,2,380000,L,B. 2
Liabilities,Equity,240000,2,390000,L,B. 2
Liabilities,Equity,250000,2,400000,L,B. 2
Assets,House,200000,5,200000,A,C. 5
Assets,House,210000,5,210000,A,C. 5
Assets,House,220000,5,220000,A,C. 5
Assets,House,230000,5,230000,A,C. 5
Assets,House,240000,5,240000,A,C. 5
Assets,House,250000,5,250000,A,C. 5
Assets,House,260000,5,260000,A,C. 5
Assets,House,270000,5,270000,A,C. 5
Assets,House,280000,5,280000,A,C. 5
Assets,House,290000,5,290000,A,C. 5
Assets,House,300000,5,300000,A,C. 5
Assets,House,310000,5,310000,A,C. 5
Assets,House,320000,5,320000,A,C. 5
Assets,House,330000,5,330000,A,C. 5
Assets,House,340000,5,340000,A,C. 5
Assets,House,350000,5,350000,A,C. 5
Assets,House,360000,5,360000,A,C. 5
Assets,House,370000,5,370000,A,C. 5
Assets,House,380000,5,380000,A,C. 5
Assets,House,390000,5,390000,A,C. 5
Assets,House,400000,5,400000,A,C. 5
Liabilities,Debt,236000,5,200000,L,C. 5
Liabilities,Debt,236000,5,210000,L,C. 5
Liabilities,Debt,236000,5,220000,L,C. 5
Liabilities,Debt,236000,5,230000,L,C. 5
Liabilities,Debt,236000,5,240000,L,C. 5
Liabilities,Debt,236000,5,250000,L,C. 5
Liabilities,Debt,236000,5,260000,L,C. 5
Liabilities,Debt,236000,5,270000,L,C. 5
Liabilities,Debt,236000,5,280000,L,C. 5
Liabilities,Debt,236000,5,290000,L,C. 5
Liabilities,Debt,236000,5,300000,L,C. 5
Liabilities,Debt,236000,5,310000,L,C. 5
Liabilities,Debt,236000,5,320000,L,C. 5
Liabilities,Debt,236000,5,330000,L,C. 5
Liabilities,Debt,236000,5,340000,L,C. 5
Liabilities,Debt,236000,5,350000,L,C. 5
Liabilities,Debt,236000,5,360000,L,C. 5
Liabilities,Debt,236000,5,370000,L,C. 5
Liabilities,Debt,236000,5,380000,L,C. 5
Liabilities,Debt,236000,5,390000,L,C. 5
Liabilities,Debt,236000,5,400000,L,C. 5
Liabilities,Equity,-36000,5,200000,L,C. 5
Liabilities,Equity,-26000,5,210000,L,C. 5
Liabilities,Equity,-16000,5,220000,L,C. 5
Liabilities,Equity,-6000,5,230000,L,C. 5
Liabilities,Equity,4000,5,240000,L,C. 5
Liabilities,Equity,14000,5,250000,L,C. 5
Liabilities,Equity,24000,5,260000,L,C. 5
Liabilities,Equity,34000,5,270000,L,C. 5
Liabilities,Equity,44000,5,280000,L,C. 5
Liabilities,Equity,54000,5,290000,L,C. 5
Liabilities,Equity,64000,5,300000,L,C. 5
Liabilities,Equity,74000,5,310000,L,C. 5
Liabilities,Equity,84000,5,320000,L,C. 5
Liabilities,Equity,94000,5,330000,L,C. 5
Liabilities,Equity,104000,5,340000,L,C. 5
Liabilities,Equity,114000,5,350000,L,C. 5
Liabilities,Equity,124000,5,360000,L,C. 5
Liabilities,Equity,134000,5,370000,L,C. 5
Liabilities,Equity,144000,5,380000,L,C. 5
Liabilities,Equity,154000,5,390000,L,C. 5
Liabilities,Equity,164000,5,400000,L,C. 5
Assets,House,200000,10,200000,A,D. 10
Assets,House,210000,10,210000,A,D. 10
Assets,House,220000,10,220000,A,D. 10
Assets,House,230000,10,230000,A,D. 10
Assets,House,240000,10,240000,A,D. 10
Assets,House,250000,10,250000,A,D. 10
Assets,House,260000,10,260000,A,D. 10
Assets,House,270000,10,270000,A,D. 10
Assets,House,280000,10,280000,A,D. 10
Assets,House,290000,10,290000,A,D. 10
Assets,House,300000,10,300000,A,D. 10
Assets,House,310000,10,310000,A,D. 10
Assets,House,320000,10,320000,A,D. 10
Assets,House,330000,10,330000,A,D. 10
Assets,House,340000,10,340000,A,D. 10
Assets,House,350000,10,350000,A,D. 10
Assets,House,360000,10,360000,A,D. 10
Assets,House,370000,10,370000,A,D. 10
Assets,House,380000,10,380000,A,D. 10
Assets,House,390000,10,390000,A,D. 10
Assets,House,400000,10,400000,A,D. 10
Liabilities,Debt,270000,10,200000,L,D. 10
Liabilities,Debt,270000,10,210000,L,D. 10
Liabilities,Debt,270000,10,220000,L,D. 10
Liabilities,Debt,270000,10,230000,L,D. 10
Liabilities,Debt,270000,10,240000,L,D. 10
Liabilities,Debt,270000,10,250000,L,D. 10
Liabilities,Debt,270000,10,260000,L,D. 10
Liabilities,Debt,270000,10,270000,L,D. 10
Liabilities,Debt,270000,10,280000,L,D. 10
Liabilities,Debt,270000,10,290000,L,D. 10
Liabilities,Debt,270000,10,300000,L,D. 10
Liabilities,Debt,270000,10,310000,L,D. 10
Liabilities,Debt,270000,10,320000,L,D. 10
Liabilities,Debt,270000,10,330000,L,D. 10
Liabilities,Debt,270000,10,340000,L,D. 10
Liabilities,Debt,270000,10,350000,L,D. 10
Liabilities,Debt,270000,10,360000,L,D. 10
Liabilities,Debt,270000,10,370000,L,D. 10
Liabilities,Debt,270000,10,380000,L,D. 10
Liabilities,Debt,270000,10,390000,L,D. 10
Liabilities,Debt,270000,10,400000,L,D. 10
Liabilities,Equity,-70000,10,200000,L,D. 10
Liabilities,Equity,-60000,10,210000,L,D. 10
Liabilities,Equity,-50000,10,220000,L,D. 10
Liabilities,Equity,-40000,10,230000,L,D. 10
Liabilities,Equity,-30000,10,240000,L,D. 10
Liabilities,Equity,-20000,10,250000,L,D. 10
Liabilities,Equity,-10000,10,260000,L,D. 10
Liabilities,Equity,0,10,270000,L,D. 10
Liabilities,Equity,10000,10,280000,L,D. 10
Liabilities,Equity,20000,10,290000,L,D. 10
Liabilities,Equity,30000,10,300000,L,D. 10
Liabilities,Equity,40000,10,310000,L,D. 10
Liabilities,Equity,50000,10,320000,L,D. 10
Liabilities,Equity,60000,10,330000,L,D. 10
Liabilities,Equity,70000,10,340000,L,D. 10
Liabilities,Equity,80000,10,350000,L,D. 10
Liabilities,Equity,90000,10,360000,L,D. 10
Liabilities,Equity,100000,10,370000,L,D. 10
Liabilities,Equity,110000,10,380000,L,D. 10
Liabilities,Equity,120000,10,390000,L,D. 10
Liabilities,Equity,130000,10,400000,L,D. 10
