Date,New-Fixed,New-Flexible,New-All,Existing-Fixed,Existing-Flexible,Existing-All,Bank Rate,New variable,Existing variable,Existing fixed
2007-3-1,0.053484432,0.058819286,0.05532675,0.052293694,0.062336839,0.057538726,0.0525,0.00282675,0.005038726,-0.000206306
2007-6-1,0.055422336,0.06051134,0.057110974,0.052027775,0.064279811,0.058093591,0.055,0.002110974,0.003093591,-0.002972225
2007-9-1,0.057724511,0.062505114,0.059300513,0.052978534,0.066422385,0.059329902,0.0575,0.001800513,0.001829902,-0.004521466
2007-12-1,0.060132144,0.06136569,0.060664289,0.054171084,0.065546102,0.05951206,0.055,0.005664289,0.00451206,-0.000828916
2008-3-1,0.059230732,0.058739147,0.058953818,0.055213163,0.061522284,0.058282841,0.0525,0.006453818,0.005782841,0.002713163
2008-6-1,0.058202749,0.058336359,0.0582812,0.055923299,0.0595224,0.057676656,0.05,0.0082812,0.007676656,0.005923299
2008-9-1,0.061156341,0.061111924,0.061126361,0.056957381,0.060323569,0.058613178,0.045,0.016126361,0.013613178,0.011957381
2008-12-1,0.060516737,0.043267608,0.050799823,0.057140422,0.041156734,0.048845309,0.02,0.030799823,0.028845309,0.037140422
2009-3-1,0.053053452,0.029139977,0.040506713,0.056955809,0.027063872,0.040320509,0.005,0.035506713,0.035320509,0.051955809
2009-6-1,0.047387668,0.027492159,0.040332445,0.056592815,0.024218916,0.037968482,0.005,0.035332445,0.032968482,0.051592815
2009-9-1,0.047980002,0.029199024,0.041723376,0.055732018,0.025283894,0.037488243,0.005,0.036723376,0.032488243,0.050732018
2009-12-1,0.049930286,0.029823805,0.039811355,0.054732134,0.026500815,0.037106876,0.005,0.034811355,0.032106876,0.049732134
2010-3-1,0.04903912,0.032109031,0.03842726,0.054421906,0.027588232,0.037127089,0.005,0.03342726,0.032127089,0.049421906
2010-6-1,0.047019584,0.032136054,0.037942351,0.053329083,0.027528211,0.036241769,0.005,0.032942351,0.031241769,0.048329083
2010-9-1,0.045519568,0.031972651,0.037866749,0.052811218,0.028045027,0.036072795,0.005,0.032866749,0.031072795,0.047811218
2010-12-1,0.043756381,0.030319688,0.036499999,0.051874837,0.028443604,0.035829202,0.005,0.031499999,0.030829202,0.046874837
2011-3-1,0.042367434,0.030292175,0.036475792,0.051214985,0.028655564,0.035595753,0.005,0.031475792,0.030595753,0.046214985
2011-6-1,0.044316006,0.030123841,0.038076093,0.050641028,0.028545714,0.035087447,0.005,0.033076093,0.030087447,0.045641028
2011-9-1,0.042389947,0.028977445,0.035909921,0.049648758,0.028709775,0.034692962,0.005,0.030909921,0.029692962,0.044648758
2011-12-1,0.039395444,0.029581008,0.034846734,0.048346126,0.028880245,0.034354859,0.005,0.029846734,0.029354859,0.043346126
2012-3-1,0.039901578,0.028957282,0.034977773,0.047358286,0.029331733,0.034363684,0.005,0.029977773,0.029363684,0.042358286
2012-6-1,0.042228649,0.031959072,0.037758396,0.046534639,0.029930535,0.034554909,0.005,0.032758396,0.029554909,0.041534639
2012-9-1,0.0433,0.0332,0.0389,0.0459,0.0301,0.0345,0.005,0.0339,0.0295,0.0409
2012-12-1,0.040997393,0.032954139,0.038058437,0.044868808,0.030913105,0.034807091,0.005,0.033058437,0.029807091,0.039868808
2013-3-1,0.037974735,0.032845534,0.036475743,0.043702101,0.0310411,0.034637886,0.005,0.031475743,0.029637886,0.038702101
2013-6-1,0.035758669,0.031396564,0.034675949,0.042148875,0.031032116,0.034315568,0.005,0.029675949,0.029315568,0.037148875
2013-9-1,0.033994576,0.030664712,0.033222786,0.04028676,0.031181612,0.033996111,0.005,0.028222786,0.028996111,0.03528676
2013-12-1,0.033044044,0.02994935,0.032459234,0.038478002,0.031193845,0.033619856,0.005,0.027459234,0.028619856,0.033478002
2014-3-1,0.033167651,0.029317798,0.032442784,0.037455012,0.031129354,0.033387381,0.005,0.027442784,0.028387381,0.032455012
2014-6-1,0.033523263,0.028292248,0.032576921,0.036338285,0.031057453,0.033023443,0.005,0.027576921,0.028023443,0.031338285
2014-9-1,0.034278027,0.027869117,0.033150526,0.035419647,0.031044759,0.032780404,0.005,0.028150526,0.027780404,0.030419647
2014-12-1,0.033682703,0.027366646,0.032567664,0.034765817,0.03084155,0.032496252,0.005,0.027567664,0.027496252,0.029765817
2015-3-1,0.031098236,0.025774833,0.029905615,0.034164316,0.030674046,0.032164483,0.005,0.024905615,0.027164483,0.029164316
2015-6-1,0.029147237,0.025017907,0.028270401,0.033133716,0.030469184,0.031669366,0.005,0.023270401,0.026669366,0.028133716
2015-9-1,0.027936038,0.024700223,0.027327806,0.032147857,0.030132619,0.031083437,0.005,0.022327806,0.026083437,0.027147857
2015-12-1,0.027240862,0.025073005,0.026893363,0.031362663,0.029816836,0.030572233,0.005,0.021893363,0.025572233,0.026362663
2016-3-1,0.026600831,0.025183784,0.026345973,0.030630246,0.029887726,0.030272055,0.005,0.021345973,0.025272055,0.025630246
2016-6-1,0.025992581,0.023474424,0.025545,0.029929771,0.029642426,0.029789007,0.0025,0.023045,0.027289007,0.027429771
2016-9-1,0.025195543,0.022117824,0.024657465,0.029016077,0.027801557,0.028451133,0.0025,0.022157465,0.025951133,0.026516077
2016-12-1,0.023787521,0.021575387,0.023384511,0.028163878,0.026908954,0.027582363,0.0025,0.020884511,0.025082363,0.025663878
2017-3-1,0.022915928,0.023481049,0.022999056,0.027334739,0.026618133,0.02702432,0.0025,0.020499056,0.02452432,0.024834739
2017-6-1,0.022726647,0.023040517,0.022756462,0.026651639,0.026903325,0.026780172,0.0025,0.020256462,0.024280172,0.024151639
2017-9-1,0.021980226,0.022360858,0.022021806,0.025838167,0.026866992,0.026276255,0.0025,0.019521806,0.023776255,0.023338167
2017-12-1,0.021695726,0.023678752,0.021874083,0.025103533,0.028524839,0.02645087,0.005,0.016874083,0.02145087,0.020103533
2018-3-1,0.021771977,0.024055114,0.021989525,0.024538672,0.028999745,0.026236077,0.005,0.016989525,0.021236077,0.019538672
2018-6-1,0.022487413,0.025247075,0.0227133,0.024092192,0.029056912,0.02588197,0.005,0.0177133,0.02088197,0.019092192
2018-9-1,0.022723142,0.024871481,0.022915601,0.023807047,0.030781241,0.026197959,0.0075,0.015415601,0.018697959,0.016307047
2018-12-1,0.022669786,0.025271181,0.022857664,0.023338683,0.03133984,0.025942924,0.0075,0.015357664,0.018442924,0.015838683
2019-3-1,0.022904474,0.025645018,0.023129791,0.023225178,0.031159956,0.025667866,0.0075,0.015629791,0.018167866,0.015725178
2019-6-1,0.022689513,0.02473769,0.022851617,0.023077398,0.030869131,0.025373594,0.0075,0.015351617,0.017873594,0.015577398
2019-9-1,0.022233684,0.02499269,0.022447651,0.022930505,0.030766542,0.025119851,0.0075,0.014947651,0.017619851,0.015430505
2019-12-1,0.02134197,0.024418406,0.021586422,0.022747526,0.030652781,0.024864088,0.0075,0.014086422,0.017364088,0.015247526
2020-3-1,0.020555908,0.022376618,0.020696885,0.022524105,0.02911814,0.024225392,0.001,0.019696885,0.023225392,0.021524105
2020-6-1,0.019636268,0.018263498,0.019488163,0.022252017,0.024675522,0.022862546,0.001,0.018488163,0.021862546,0.021252017
2020-9-1,0.01937583,0.019082492,0.019355937,0.021918084,0.024414116,0.022535364,0.001,0.018355937,0.021535364,0.020918084
2020-12-1,0.020562731,0.020887785,0.020592243,0.021753647,0.023994405,0.022275482,0.001,0.019592243,0.021275482,0.020753647
