Date,date,ABMI,YBHA,KTMS,KTMR,KTMQ,KTMW,KTMU,KTMT,KTMZ,KTMY,KTMX,KTNC,KTNB,KTMW_gdp,KTMX_gdp,KTMY_gdp,KTMS_gdp,KTMQ_gdp,KTMR_gdp,frequency
1948,1948,365418,11425,-64,641,577,2240,18816,25555,43345,-216,2456,806,42539,.19606127,.21496718,-.018905908,-.0056017507,.050503284,.056105033,annual
1949,1949,377558,12168,-43,695,652,2543,19991,27813,47854,-181,2724,2163,45691,.2089908,.22386588,-.014875082,-.0035338593,.053583167,.05711703,annual
1950,1950,390150,12737,-4,759,755,3048,19962,31140,54384,-59,3107,8424,45960,.23930281,.24393499,-.004632174,-.0003140457,.059276126,.059590172,annual
1951,1951,404591,14298,32,901,933,3712,20961,30398,53652,-661,4373,4689,48963,.25961673,.30584696,-.046230242,.0022380752,.065253884,.063015804,annual
1952,1952,410688,15528,123,885,1008,3825,19171,29322,52366,-151,3976,7154,45212,.24632922,.25605357,-.0097243693,.0079211751,.064914994,.056993816,annual
1953,1953,433512,16675,122,902,1024,3753,20362,30195,54392,-124,3877,5780,48612,.22506747,.23250374,-.007436282,.0073163416,.061409295,.054092955,annual
1954,1954,452371,17589,114,965,1079,3908,20835,31846,57276,-99,4007,7022,50254,.22218432,.22781284,-.0056285178,.0064813234,.06134516,.054863837,annual
1955,1955,470517,19160,41,1086,1127,4254,25370,31963,61014,-277,4531,5994,55020,.22202505,.23648225,-.014457203,.0021398747,.05882046,.056680586,annual
1956,1956,478458,20832,25,1220,1245,4684,25463,31225,63538,69,4615,8530,55008,.22484639,.22153418,.0033122119,.0012000768,.059763826,.058563747,annual
1957,1957,487920,22093,120,1232,1352,4925,24503,32605,64949,81,4844,8749,56200,.22292128,.21925497,.0036663197,.0054315845,.061195854,.055764269,annual
1958,1958,494469,23210,117,1201,1318,4788,25019,33086,63801,139,4649,7149,56652,.20629039,.20030159,.0059887981,.0050409306,.056785867,.051744938,annual
1959,1959,515587,24378,116,1235,1351,4938,25456,33839,65321,-13,4951,5159,60162,.20255968,.20309295,-.00053326768,.0047583887,.055418819,.050660431,annual
1960,1960,548182,26189,36,1411,1447,5248,28280,36118,68852,-382,5630,1715,67137,.20038947,.21497576,-.014586276,.0013746229,.055252206,.053877581,annual
1961,1961,562843,27905,48,1470,1518,5485,28280,36843,70742,-112,5597,4309,66433,.19655976,.20057337,-.0040136175,.0017201218,.054398853,.05267873,annual
1962,1962,568897,29224,47,1510,1557,5622,28376,36819,71645,-75,5697,4072,67573,.19237612,.19494252,-.0025663837,.0016082672,.053278126,.051669862,annual
1963,1963,596399,31091,1,1582,1583,5978,27717,36370,74779,-141,6119,4964,69815,.19227429,.19680937,-.0045350743,.000032163647,.050915055,.050882891,annual
1964,1964,630411,34043,-37,1724,1687,6319,29417,37013,76931,-610,6929,-49,76980,.18561819,.2035367,-.017918514,-.0010868608,.049554974,.050641835,annual
1965,1965,643723,36826,-70,1826,1756,6739,29860,36750,79914,-358,7097,2490,77424,.18299571,.19271711,-.0097213928,-.0019008309,.047683701,.049584534,annual
1966,1966,653694,39394,39,1915,1954,7302,30400,39240,83720,-105,7407,4605,79115,.18535818,.18802355,-.0026653805,.00098999846,.049601462,.048611462,annual
1967,1967,671765,41684,151,2060,2211,7540,30623,40705,83904,-495,8035,-520,84424,.18088475,.19275981,-.01187506,.003622493,.053041935,.04941944,annual
1968,1968,708384,45809,333,2286,2619,9156,30533,44019,93986,-437,9593,3437,90549,.19987339,.20941299,-.0095396098,.007269314,.057172172,.049902856,annual
1969,1969,721970,49785,382,2524,2906,10279,33432,47952,102844,99,10180,9529,93315,.20646781,.20447926,.0019885509,.0076729939,.058370996,.050698001,annual
1970,1970,741420,56057,443,3039,3482,11748,33777,51285,107967,349,11399,10380,97587,.2095724,.2033466,.0062258057,.0079026707,.062115345,.054212678,annual
1971,1971,768159,62885,602,3419,4021,13211,35856,55587,115319,722,12489,12801,102518,.21008189,.19860062,.011481276,.0095730303,.063942119,.054369088,annual
1972,1972,801160,70553,703,3673,4376,13963,37366,57743,116506,-126,14089,4376,112130,.19790795,.19969384,-.0017858915,.0099641401,.062024295,.052060153,annual
1973,1973,853211,81746,883,4600,5483,17574,38201,63139,130591,-1793,19367,6483,124108,.214983,.2369168,-.021933794,.010801752,.067073621,.056271866,annual
1974,1974,831823,92612,1255,5764,7019,23565,39363,67872,140013,-4102,27667,14707,125306,.25444868,.29874098,-.044292316,.01355116,.075789317,.062238153,annual
1975,1975,819361,115027,1659,6597,8256,27707,39958,68231,135896,-1719,29426,18869,117027,.24087389,.25581819,-.014944318,.014422701,.071774453,.057351753,annual
1976,1976,844053,136901,2811,7970,10781,36185,39928,72389,147878,-1268,37453,25132,122746,.2643151,.27357724,-.0092621678,.020533087,.078750335,.058217254,annual
1977,1977,864606,159631,3632,8894,12526,44567,40139,74564,157478,1193,43374,32631,124847,.27918762,.27171415,.0074734855,.022752473,.078468464,.055715997,annual
1978,1978,900728,185960,4127,9392,13519,48850,40035,74249,159951,2417,46433,30761,129190,.2626909,.24969348,.012997419,.022192944,.072698429,.050505485,annual
1979,1979,934253,220721,4461,11216,15677,56526,43140,75231,165589,947,55579,24396,141193,.25609708,.25180659,.0042904844,.020211035,.071026318,.050815284,annual
1980,1980,915042,259663,4275,12698,16973,64466,44668,71943,164693,5398,59068,28515,136178,.24826795,.22747946,.020788483,.016463647,.065365493,.048901845,annual
1981,1981,908707,289840,4604,14043,18647,69681,45129,71965,163543,7590,62091,31280,132263,.24041195,.21422508,.026186861,.015884627,.064335495,.048450869,annual
1982,1982,926621,319212,4062,15607,19669,75326,45727,68936,164886,5676,69650,26645,138241,.23597483,.21819355,.017781286,.012725086,.06161736,.048892271,annual
1983,1983,965509,351051,5175,16780,21955,82939,44317,69248,167727,3283,79656,20989,146738,.23625912,.22690721,.0093519175,.014741448,.06254077,.047799323,annual
1984,1984,987166,377644,5850,18779,24629,95194,45532,70557,178500,114,95080,17902,160598,.25207338,.25177151,.00030187159,.01549078,.06521751,.049726728,annual
1985,1985,1027873,414428,8221,19373,27594,105885,45105,74676,188477,4459,101426,24140,164337,.25549674,.24473733,.010759409,.019836981,.066583335,.046746358,annual
1986,1986,1060255,446635,7854,20828,28682,101679,46631,76754,195920,-2119,103798,20649,175271,.22765569,.23240006,-.0047443663,.017584829,.064217985,.046633158,annual
1987,1987,1117428,496140,8619,23395,32014,111545,50183,82158,208121,-3494,115039,19296,188825,.22482565,.23186801,-.007042367,.017372113,.064526141,.047154028,annual
1988,1988,1181481,555607,6976,25791,32767,113478,54455,80320,209915,-15090,128568,-2241,212156,.20424148,.23140097,-.027159484,.012555637,.058975138,.046419501,annual
1989,1989,1211937,614524,6949,29173,36122,128733,56017,81521,219588,-18313,147046,-7654,227242,.20948409,.2392844,-.029800301,.011307939,.058780454,.047472514,annual
1990,1990,1220831,668931,8201,31476,39677,141990,56915,83569,231070,-11135,153125,2916,228154,.21226405,.22891001,-.016645962,.01225986,.059314039,.047054179,annual
1991,1991,1207364,705464,8393,32429,40822,144761,55986,80776,230702,-2608,147369,12838,217864,.2051997,.20889656,-.0036968577,.011897135,.057865463,.045968328,annual
1992,1992,1212206,730578,8972,35649,44621,152484,59573,88089,240675,-4897,157381,8535,232140,.20871693,.21541984,-.006702912,.012280688,.061076298,.048795611,annual
1993,1993,1242396,769159,11276,40435,51711,173940,59939,92835,250928,-2703,176643,11657,239271,.22614309,.22965732,-.0035142279,.014660168,.067230575,.052570406,annual
1994,1994,1290179,809486,11854,45366,57220,192363,65986,98820,273243,-240,192603,20282,252961,.23763599,.23793246,-.00029648445,.01464386,.070686832,.056042969,annual
1995,1995,1322839,850181,15436,48247,63683,217260,67537,106013,298078,2317,214943,31772,266306,.25554559,.25282028,.002725302,.018156134,.074905224,.056749091,annual
1996,1996,1355798,907265,16420,53635,70055,237251,73092,112146,319235,1525,235726,28454,290781,.26150131,.25982046,.001680876,.018098351,.07721559,.059117235,annual
1997,1997,1423254,951750,18017,55036,73053,243306,81383,121543,358485,4257,239049,39423,319062,.25564066,.25116783,.0044728131,.01893039,.0767565,.057826109,annual
1998,1998,1476025,997247,17348,59262,76610,240834,88200,130173,367993,-6746,247580,24986,343007,.24149884,.24826346,-.0067646229,.017395891,.076821491,.0594256,annual
1999,1999,1524662,1039752,16287,65842,82129,248866,98438,134949,378295,-14907,263773,10634,367661,.2393513,.25368837,-.014337073,.015664313,.078989029,.063324712,annual
2000,2000,1578121,1095900,18379,70274,88653,276134,103802,144864,412086,-19554,295688,9820,402266,.25197008,.26981294,-.017842868,.016770691,.080895156,.064124465,annual
2001,2001,1621208,1138375,20603,75133,95736,286801,107574,148371,421103,-25914,312715,-5927,427030,.25193894,.27470297,-.022764027,.018098606,.084098823,.066000223,annual
2002,2002,1656531,1187671,19900,79992,99892,287720,114388,152008,425656,-31921,319641,-23879,449535,.24225564,.26913261,-.026876971,.016755482,.084107466,.067351982,annual
2003,2003,1711559,1256188,25624,86355,111979,300545,119906,165832,435568,-28112,328657,-22356,457924,.23925161,.26163042,-.022378815,.02039822,.089141913,.068743691,annual
2004,2004,1750690,1317459,29737,92064,121801,313481,129138,183109,455853,-33794,347275,-30553,486406,.23794365,.26359454,-.025650892,.02257148,.092451453,.069879971,annual
2005,2005,1802435,1393038,36062,99801,135863,349105,136011,196731,491838,-33950,383055,-28179,520017,.25060695,.27497813,-.024371194,.025887305,.09753,.071642697,annual
2006,2006,1850989,1470719,47523,107174,154697,401162,142293,216366,554409,-31242,432404,-19305,573714,.2727659,.29400858,-.021242671,.032312766,.10518461,.072871841,annual
2007,2007,1894682,1546085,57530,110891,168421,392109,144387,237713,543251,-31597,423706,-12540,555791,.25361413,.27405092,-.020436781,.037210114,.10893386,.071723744,annual
2008,2008,1889401,1589259,56022,120910,176932,429839,143591,239213,545380,-34688,464527,2680,542700,.27046505,.29229155,-.021826524,.035250392,.11132987,.07607948,annual
2009,2009,1811672,1548513,60189,120889,181078,408751,135977,227469,499635,-24871,433622,402,499233,.26396355,.28002477,-.016061215,.0388689,.1169367,.078067794,annual
2010,2010,1849247,1606027,64256,123179,187435,453703,136267,227634,528730,-31123,484826,-10049,538779,.28250024,.30187911,-.019378876,.04000929,.11670725,.07669796,annual
2011,2011,1872838,1660141,81423,126670,208093,509890,137670,246226,566927,-15837,525727,19355,547572,.30713657,.31667611,-.0095395511,.049045835,.12534659,.076300748,annual
2012,2012,1899626,1711770,85235,129680,214915,513317,142068,252449,570563,-21190,534507,12297,558266,.29987499,.31225398,-.012379,.049793489,.12555133,.075757839,annual
2013,2013,1941155,1780336,93990,137890,231880,531790,146281,259734,575443,-25006,556796,-1,575444,.29870203,.31274772,-.014045663,.052793406,.13024507,.077451669,annual
2014,2014,1996725,1863008,92019,144252,236271,525324,155930,259774,576799,-28933,554257,-17918,594717,.28197625,.29750651,-.01553026,.049392704,.12682232,.077429622,annual
2015,2015,2043909,1919641,87850,153827,241677,523366,170836,264548,592946,-28272,551638,-33955,626901,.27263743,.2873652,-.014727754,.045763765,.12589698,.080133215,annual
2016,2016,2079113,1994712,96719,168974,265693,563248,176142,280523,609198,-36113,599361,-42445,651643,.2823706,.30047494,-.018104369,.048487701,.13319868,.084710978,annual
2017,2017,2115296,2068757,105496,181164,286660,622868,182463,292507,642143,-29889,652757,-26754,668897,.30108321,.31553102,-.014447806,.050994873,.1385663,.087571427,annual
2018,2018,2141792,2141792,111356,199113,310469,661601,199113,310469,661601,-25487,687088,-25487,687088,.30890068,.32080051,-.011899848,.051991977,.14495759,.09296561,annual
2019,2019,2172511,2218439,103333,212987,316320,689274,207408,311838,679186,-27470,716744,-26686,705872,.31070226,.32308483,-.012382581,.046579149,.14258675,.0960076,annual
1955-1-15,1955 Q1,116532,4664,14,260,274,1073,6504,8826,15834,-83,1156,1773,14061,.23006004,.24785592,-.017795883,.0030017153,.058747854,.055746142,quarterly
1955-4-15,1955 Q2,116637,4687,27,267,294,994,6230,8281,14170,-68,1062,1201,12969,.21207595,.22658417,-.014508214,.0057606143,.062726691,.056966078,quarterly
1955-7-15,1955 Q3,118997,4860,-7,298,291,1077,6298,7690,15160,-92,1169,1195,13965,.22160494,.24053498,-.01893004,-.0014403292,.059876543,.061316874,quarterly
1955-10-15,1955 Q4,118351,4949,7,261,268,1110,6338,7166,15850,-34,1144,1825,14025,.22428773,.23115781,-.0068700747,.0014144272,.054152355,.052737925,quarterly
1956-1-15,1956 Q1,119735,5083,8,296,304,1154,6557,7890,15866,-5,1159,1707,14159,.22703128,.22801495,-.00098367105,.0015738737,.0598072,.058233328,quarterly
1956-4-15,1956 Q2,119475,5152,22,299,321,1204,6270,7686,16138,42,1162,2258,13880,.23369566,.22554348,.0081521738,.0042701862,.062305901,.058035713,quarterly
1956-7-15,1956 Q3,119357,5233,-8,331,323,1124,6333,7827,15060,-27,1151,1679,13381,.21479075,.21995032,-.0051595643,-.0015287598,.061723676,.063252434,quarterly
1956-10-15,1956 Q4,119891,5364,3,294,297,1202,6303,7822,16474,59,1143,2886,13588,.22408651,.21308725,.010999254,.00055928412,.055369128,.054809842,quarterly
1957-1-15,1957 Q1,122290,5376,40,297,337,1244,6215,8421,16619,2,1242,2209,14410,.23139881,.23102678,.00037202382,.0074404762,.062686011,.055245537,quarterly
1957-4-15,1957 Q2,122303,5458,49,304,353,1259,6066,8198,16453,39,1220,2627,13826,.23067057,.22352511,.0071454747,.0089776479,.064675704,.055698059,quarterly
1957-7-15,1957 Q3,121553,5575,8,342,350,1205,6350,8108,15652,-21,1226,1575,14077,.2161435,.21991031,-.0037668161,.0014349776,.062780268,.06134529,quarterly
1957-10-15,1957 Q4,121774,5684,23,289,312,1217,5872,7878,16225,61,1156,2338,13887,.21410978,.2033779,.010731879,.0040464462,.054890923,.050844476,quarterly
1958-1-15,1958 Q1,124411,5797,52,267,319,1215,6071,8279,16256,80,1135,2322,13934,.20959117,.19579093,.013800241,.0089701572,.055028465,.046058305,quarterly
1958-4-15,1958 Q2,121520,5722,30,302,332,1170,6260,8274,15549,46,1124,1766,13783,.20447396,.19643481,.0080391476,.0052429219,.058021672,.052778747,quarterly
1958-7-15,1958 Q3,124197,5822,5,348,353,1203,6340,8220,15735,-3,1206,1615,14120,.20663002,.2071453,-.00051528687,.00085881143,.060632084,.059773274,quarterly
1958-10-15,1958 Q4,124341,5869,30,284,314,1200,6348,8313,16261,16,1184,1446,14815,.20446414,.20173794,.0027261884,.0051116035,.05350145,.048389845,quarterly
1959-1-15,1959 Q1,125143,5883,55,266,321,1183,5940,8319,15859,30,1153,1507,14352,.20108788,.19598845,.0050994391,.0093489718,.054563999,.045215026,quarterly
1959-4-15,1959 Q2,127218,6078,22,317,339,1246,6512,8337,16376,17,1229,1146,15230,.20500165,.20220467,.0027969726,.0036196117,.055774927,.052155316,quarterly
1959-7-15,1959 Q3,129949,6100,8,358,366,1216,6476,8518,15843,-51,1267,1098,14745,.19934426,.20770492,-.008360656,.0013114754,.059999999,.058688525,quarterly
1959-10-15,1959 Q4,133277,6317,31,294,325,1293,6528,8665,17243,-9,1302,1408,15835,.20468576,.20611049,-.0014247269,.0049073929,.051448472,.04654108,quarterly
1960-1-15,1960 Q1,136599,6421,11,324,335,1320,6991,8709,17458,-60,1380,792,16666,.20557545,.21491979,-.0093443384,.0017131288,.05217256,.05045943,quarterly
1960-4-15,1960 Q2,135553,6482,9,347,356,1317,6976,8907,17275,-87,1404,349,16926,.20317803,.21659982,-.013421783,.0013884604,.054921322,.053532861,quarterly
1960-7-15,1960 Q3,137604,6576,-8,410,402,1285,7136,9102,16431,-158,1443,-49,16480,.19540754,.21943431,-.024026765,-.001216545,.061131388,.062347934,quarterly
1960-10-15,1960 Q4,138426,6710,24,330,354,1326,7177,9400,17688,-77,1403,623,17065,.1976155,.2090909,-.011475409,.0035767511,.052757081,.049180329,quarterly
1961-1-15,1961 Q1,140702,6878,27,341,368,1382,7135,9447,18147,-42,1424,866,17281,.20093051,.20703693,-.0061064265,.0039255596,.053503927,.049578365,quarterly
1961-4-15,1961 Q2,141275,6878,10,368,378,1383,7093,9172,17791,-43,1426,964,16827,.2010759,.20732771,-.0062518176,.0014539111,.054957837,.053503927,quarterly
1961-7-15,1961 Q3,140555,7114,-16,428,412,1350,7082,8969,16858,-51,1401,832,16026,.18976666,.19693562,-.0071689626,-.0022490863,.057913974,.060163058,quarterly
1961-10-15,1961 Q4,140311,7035,27,333,360,1370,6970,9255,17946,24,1346,1647,16299,.19474058,.19132906,.0034115138,.0038379531,.051172707,.047334753,quarterly
1962-1-15,1962 Q1,140941,7130,24,345,369,1371,7236,9415,17802,-30,1401,757,17045,.19228612,.19649369,-.0042075738,.0033660589,.051753156,.048387095,quarterly
1962-4-15,1962 Q2,142246,7304,4,383,387,1441,7175,9070,18381,13,1428,1468,16913,.19728915,.19550931,.0017798466,.00054764515,.052984666,.052437022,quarterly
1962-7-15,1962 Q3,143137,7378,-12,436,424,1385,6840,8990,17127,-76,1461,581,16546,.18772025,.19802114,-.010300894,-.0016264571,.05746815,.059094604,quarterly
1962-10-15,1962 Q4,142573,7412,31,346,377,1425,7125,9344,18335,18,1407,1266,17069,.1922558,.18982731,.0024284944,.0041824067,.050863463,.046681058,quarterly
1963-1-15,1963 Q1,143171,7363,26,342,368,1454,6738,9261,18688,23,1431,1927,16761,.19747385,.19435012,.0031237267,.0035311694,.049979627,.046448458,quarterly
1963-4-15,1963 Q2,149459,7748,-1,392,391,1505,6889,8912,18913,-5,1510,1546,17367,.19424367,.19488901,-.00064532785,-.00012906556,.050464638,.0505937,quarterly
1963-7-15,1963 Q3,150182,7868,-39,476,437,1484,7059,9045,17903,-118,1602,384,17519,.1886121,.20360956,-.014997458,-.004956787,.055541433,.060498219,quarterly
1963-10-15,1963 Q4,153587,8112,15,372,387,1535,7031,9152,19275,-41,1576,1107,18168,.18922584,.19428007,-.0050542406,.0018491125,.047707099,.045857988,quarterly
1964-1-15,1964 Q1,154560,8143,3,384,387,1555,7390,9260,19473,-131,1686,429,19044,.19096155,.207049,-.016087437,.00036841459,.04752548,.047157068,quarterly
1964-4-15,1964 Q2,157401,8432,-13,431,418,1606,7389,9067,19599,-125,1731,318,19281,.1904649,.20528938,-.014824478,-.0015417457,.049573056,.051114801,quarterly
1964-7-15,1964 Q3,158019,8616,-47,513,466,1539,7348,9233,18026,-235,1774,-958,18984,.17862117,.20589601,-.027274838,-.0054549677,.054085422,.059540391,quarterly
1964-10-15,1964 Q4,160431,8852,20,396,416,1619,7290,9453,19833,-119,1738,162,19671,.18289652,.19633982,-.013443289,.0022593765,.046995029,.044735651,quarterly
1965-1-15,1965 Q1,159955,9018,7,397,404,1593,6623,8682,19049,-86,1679,852,18197,.17664671,.18618318,-.0095364824,.00077622535,.044799291,.044023067,quarterly
1965-4-15,1965 Q2,160049,9062,-10,460,450,1710,7529,9450,20393,-72,1782,905,19488,.18870007,.19664533,-.0079452656,-.0011035091,.049657911,.05076142,quarterly
1965-7-15,1965 Q3,161365,9283,-72,550,478,1681,8924,9798,19786,-172,1853,-524,20310,.18108369,.1996122,-.018528493,-.0077561135,.051491976,.059248086,quarterly
