Date,date,ABMI,YBHA,KTMS,KTMR,KTMQ,KTMW,KTMU,KTMT,KTMZ,KTMY,KTMX,KTNC,KTNB,KTMW_gdp,KTMX_gdp,KTMY_gdp,KTMS_gdp,KTMQ_gdp,KTMR_gdp,frequency
1994-1-15,1994 Q1,317468,198814,3733,9700,13433,45458,14240,23009,65237,379,45079,4844,60393,.22864588,.22673957,.0019063044,.018776344,.067565665,.048789322,quarterly
1994-4-15,1994 Q2,321166,200550,1760,11393,13153,46521,16647,23228,66385,-1997,48518,2116,64269,.23196709,.2419247,-.0099576162,.0087758666,.065584645,.056808777,quarterly
1994-7-15,1994 Q3,324811,202863,2900,13482,16382,49299,19566,28684,69757,-60,49359,5661,64096,.24301623,.24331199,-.00029576611,.014295362,.080754004,.066458642,quarterly
1994-10-15,1994 Q4,326734,207259,3461,10791,14252,51085,15533,23899,71864,1438,49647,7661,64203,.24647905,.23954086,.006938179,.016698914,.068764202,.052065291,quarterly
1995-1-15,1995 Q1,328056,208283,5405,10107,15512,53361,14401,25082,72803,4144,49217,10821,61982,.25619471,.2362987,.019896006,.02595027,.074475594,.048525322,quarterly
1995-4-15,1995 Q2,329292,210739,2610,12265,14875,52396,17241,25278,72297,-2145,54541,4543,67754,.24862982,.25880828,-.010178467,.012384988,.070584938,.058199953,quarterly
1995-7-15,1995 Q3,332436,214461,3183,14423,17606,54676,20085,30043,75684,-1664,56340,6669,69015,.25494611,.26270512,-.0077589867,.014841859,.082094178,.067252323,quarterly
1995-10-15,1995 Q4,333055,216698,4238,11452,15690,56827,15810,25610,77294,1982,54845,9739,67555,.26224053,.25309417,.00914637,.019557172,.072404914,.052847743,quarterly
1996-1-15,1996 Q1,334982,220219,3670,11747,15417,56954,15758,25396,76576,155,56799,7515,69061,.25862437,.25792053,.00070384482,.01666523,.070007585,.053342354,quarterly
1996-4-15,1996 Q2,336145,224881,3760,13469,17229,58658,18090,27299,78318,-1591,60249,5402,72916,.26084018,.26791504,-.0070748529,.016719954,.076613851,.059893899,quarterly
1996-7-15,1996 Q3,340034,229294,4152,15320,19472,59868,20819,30925,80270,-1,59869,6095,74175,.2610971,.26110145,-4.3612131e-06,.018107757,.084921539,.066813782,quarterly
1996-10-15,1996 Q4,344637,232871,4838,13099,17937,61771,18425,28526,84071,2962,58809,9442,74629,.26525846,.25253895,.012719489,.02077545,.077025481,.056250028,quarterly
1997-1-15,1997 Q1,351195,233985,5090,11906,16996,58902,17205,28110,85360,2463,56439,11373,73987,.25173408,.24120776,.010526316,.021753531,.072637133,.050883602,quarterly
1997-4-15,1997 Q2,354286,235563,4096,13633,17729,60421,20073,29626,89123,-392,60813,7955,81168,.25649613,.25816023,-.0016640984,.01738813,.075262241,.057874113,quarterly
1997-7-15,1997 Q3,356780,242589,4734,16145,20879,62250,23781,33912,91185,1071,61179,9465,81720,.25660685,.25219199,.0044148746,.019514488,.086067379,.066552892,quarterly
1997-10-15,1997 Q4,360993,239613,4097,13352,17449,61733,20324,29895,92817,1115,60618,10630,82187,.25763628,.25298294,.0046533369,.017098404,.072821595,.055723187,quarterly
1998-1-15,1998 Q1,364276,243273,4936,12861,17797,59406,19504,30678,90415,-76,59482,8620,81795,.24419479,.24450719,-.00031240622,.020289963,.073156498,.052866533,quarterly
1998-4-15,1998 Q2,367660,246876,4111,14695,18806,60139,21944,32341,91921,-2148,62287,5852,86069,.24360003,.25230074,-.0087007247,.016652085,.076175891,.05952381,quarterly
1998-7-15,1998 Q3,370263,250242,3938,16882,20820,60539,25125,35532,92884,-2932,63471,4556,88328,.24192181,.25363848,-.011716658,.015736766,.083199464,.067462698,quarterly
1998-10-15,1998 Q4,373826,256856,4363,14824,19187,60750,21627,31622,92773,-1590,62340,5958,86815,.23651384,.24270408,-.006190239,.016986171,.074699439,.05771327,quarterly
1999-1-15,1999 Q1,376026,257971,4213,14524,18737,57811,21447,31419,89117,-4138,61949,2642,86475,.22409883,.24013939,-.016040564,.016331293,.072632194,.056300901,quarterly
1999-4-15,1999 Q2,376682,256599,3888,16682,20570,60947,24782,33871,92755,-3783,64730,2447,90308,.23751846,.25226131,-.014742848,.015152046,.080163993,.065011948,quarterly
1999-7-15,1999 Q3,383148,260238,3161,18550,21711,64045,27892,35611,96790,-4698,68743,1162,95628,.24610165,.26415434,-.018052706,.012146574,.083427481,.071280904,quarterly
1999-10-15,1999 Q4,388806,264944,5025,16086,21111,66063,24317,34048,99633,-2288,68351,4383,95250,.24934703,.25798282,-.0086357873,.018966272,.079680987,.060714718,quarterly
2000-1-15,2000 Q1,391937,270734,4935,14996,19931,64878,22722,33266,98365,-3472,68350,3598,94767,.23963743,.25246182,-.012824396,.018228224,.073618382,.055390161,quarterly
2000-4-15,2000 Q2,394312,273515,4440,17456,21896,68189,25804,35696,101821,-4514,72703,2568,99253,.24930625,.26580992,-.016503666,.016233113,.080054112,.063820995,quarterly
2000-7-15,2000 Q3,395469,275409,3705,20445,24150,70003,29672,39412,103794,-7111,77114,170,103624,.25417835,.27999812,-.02581978,.013452719,.087687768,.074235044,quarterly
2000-10-15,2000 Q4,396403,276242,5299,17377,22676,73064,25604,36490,108106,-4457,77521,3484,104622,.26449272,.28062713,-.016134404,.019182457,.082087442,.062904991,quarterly
2001-1-15,2001 Q1,401021,278908,6428,16868,23296,73442,24498,36454,107833,-4695,78137,2186,105647,.26331979,.2801533,-.016833508,.023047026,.083525747,.060478725,quarterly
2001-4-15,2001 Q2,404118,285103,5340,18997,24337,72539,26869,37653,105542,-7430,79969,-1916,107458,.25443086,.28049162,-.026060756,.018730072,.085362129,.066632062,quarterly
2001-7-15,2001 Q3,407236,285857,3401,21706,25107,70462,30979,38901,103189,-8557,79019,-4746,107935,.24649388,.27642843,-.029934548,.011897557,.087830625,.075933069,quarterly
2001-10-15,2001 Q4,408833,288507,5434,17562,22996,70358,25228,35363,104539,-5232,75590,-1451,105990,.2438693,.26200405,-.018134741,.018834898,.079706907,.060872007,quarterly
2002-1-15,2002 Q1,410434,291400,5161,17530,22691,68778,25520,35685,102783,-6766,75544,-3669,106452,.23602608,.25924504,-.023218943,.017711051,.077868909,.060157858,quarterly
2002-4-15,2002 Q2,412445,294478,3912,19940,23852,73651,28139,36013,108102,-8651,82302,-6761,114863,.25010696,.27948436,-.029377406,.013284524,.080997564,.067713037,quarterly
2002-7-15,2002 Q3,415187,298755,4789,23202,27991,74202,33117,42511,109299,-8281,82483,-6582,115881,.24837074,.2760891,-.027718365,.016029857,.093692154,.077662297,quarterly
2002-10-15,2002 Q4,418465,303038,6038,19320,25358,71089,27612,37799,105472,-8223,79312,-6867,112339,.23458774,.26172295,-.02713521,.019924894,.083679274,.06375438,quarterly
2003-1-15,2003 Q1,421580,307070,7961,19353,27314,74942,27588,41176,108863,-4397,79339,-2381,111244,.24405511,.2583743,-.01431921,.025925685,.088950403,.063024715,quarterly
2003-4-15,2003 Q2,425428,310584,5827,21516,27343,74170,29473,40109,106879,-7218,81388,-6526,113405,.23880818,.26204827,-.023240089,.01876143,.088037372,.069275945,quarterly
2003-7-15,2003 Q3,430274,316568,5242,25182,30424,76004,34350,44168,109182,-8925,84929,-8005,117187,.24008743,.26828045,-.028192995,.016558843,.096105732,.079546891,quarterly
2003-10-15,2003 Q4,434277,321966,6594,20304,26898,75429,28495,40379,110644,-7572,83001,-5444,116088,.23427629,.25779429,-.023518011,.020480424,.08354298,.063062556,quarterly
2004-1-15,2004 Q1,435802,322897,8033,20313,28346,73797,29342,43245,109606,-7421,81218,-6310,115916,.22854656,.25152913,-.02298256,.024877902,.087786511,.062908605,quarterly
2004-4-15,2004 Q2,437406,329033,6598,22894,29492,76620,32103,44292,111763,-9366,85986,-8716,120479,.23286419,.26132941,-.02846523,.020052699,.089632347,.069579646,quarterly
2004-7-15,2004 Q3,438191,330791,5683,26213,31896,79401,36662,48256,115232,-10854,90255,-10615,125847,.24003373,.27284598,-.03281226,.017180033,.096423425,.079243392,quarterly
2004-10-15,2004 Q4,439291,334738,9423,22644,32067,83663,31031,47316,119252,-6153,89816,-4912,124164,.24993578,.26831731,-.01838154,.028150374,.095797308,.067646936,quarterly
2005-1-15,2005 Q1,442793,337926,8834,22208,31042,78667,31211,47755,113581,-8393,87060,-7135,120716,.23279357,.25763038,-.024836799,.026141819,.091860346,.065718532,quarterly
2005-4-15,2005 Q2,447996,346983,9033,24639,33672,86902,33571,46769,120715,-7737,94639,-8779,129494,.25045031,.27274823,-.022297923,.026032975,.097042218,.071009241,quarterly
2005-7-15,2005 Q3,452721,349720,7907,28502,36409,90267,38356,53647,127795,-10624,100891,-7362,135157,.25811219,.2884908,-.030378589,.022609517,.104109,.081499487,quarterly
2005-10-15,2005 Q4,458925,358409,10288,24452,34740,93269,32873,48560,129747,-7196,100465,-4903,134650,.26023063,.28030825,-.020077622,.028704636,.096928373,.06822373,quarterly
2006-1-15,2006 Q1,461059,361619,11778,24779,36557,101957,33626,52904,142923,-8690,110647,-4684,147607,.28194591,.30597672,-.024030818,.032570191,.10109258,.068522394,quarterly
2006-4-15,2006 Q2,462305,366410,9789,26753,36542,107488,35092,50599,147532,-8224,115712,-5374,152906,.29335445,.31579924,-.022444801,.026715973,.099729814,.073013835,quarterly
2006-7-15,2006 Q3,462734,369568,11970,30256,42226,96759,40247,59065,132882,-8952,105711,-6771,139653,.2618165,.28603938,-.024222877,.032389168,.11425773,.081868559,quarterly
2006-10-15,2006 Q4,464891,373122,13986,25386,39372,94958,33328,53798,131072,-5376,100334,-2476,133548,.25449586,.268904,-.014408156,.037483718,.10552045,.068036728,quarterly
2007-1-15,2007 Q1,469274,378624,15100,25005,40105,93486,33546,57909,132452,-7384,100870,-3214,135666,.24690986,.26641205,-.019502198,.039881255,.10592303,.066041775,quarterly
2007-4-15,2007 Q2,471920,383376,13086,27700,40786,97301,35805,57318,134805,-6861,104162,-2003,136808,.25380045,.27169672,-.017896269,.034133591,.10638642,.072252825,quarterly
2007-7-15,2007 Q3,475530,389461,13031,31330,44361,98653,40569,61469,135869,-11492,110145,-8515,144384,.25330648,.28281394,-.029507447,.033459064,.11390357,.080444515,quarterly
2007-10-15,2007 Q4,477958,394624,16313,26856,43169,102669,34467,61017,140125,-5860,108529,1192,138933,.26016918,.27501875,-.014849578,.041338082,.10939274,.068054654,quarterly
2008-1-15,2008 Q1,480523,400688,13103,27838,40941,100578,35061,59385,134852,-10352,110930,-1345,136197,.25101325,.27684882,-.025835562,.032701254,.10217676,.069475502,quarterly
2008-4-15,2008 Q2,477834,398915,13639,29649,43288,109583,35269,59721,138504,-9281,118864,439,138065,.27470264,.29796824,-.023265608,.034190241,.10851435,.074324101,quarterly
2008-7-15,2008 Q3,470368,397188,11948,33989,45937,111424,39371,62003,138909,-10614,122038,-49,138958,.28053215,.307255,-.026722861,.030081473,.11565556,.085574083,quarterly
2008-10-15,2008 Q4,460676,392468,17332,29434,46766,108254,33890,58104,133115,-4441,112695,3635,129480,.27582887,.28714442,-.011315572,.044161562,.11915876,.074997194,quarterly
2009-1-15,2009 Q1,452896,384441,16355,28495,44850,99486,32197,55666,121853,-6039,105525,1459,120394,.25878093,.27448946,-.015708523,.04254229,.1166629,.074120604,quarterly
2009-4-15,2009 Q2,452036,385619,15143,30415,45558,100294,34137,57272,123126,-5480,105774,967,122159,.26008573,.27429664,-.014210918,.039269332,.11814252,.078873187,quarterly
2009-7-15,2009 Q3,452595,389776,13058,33573,46631,102636,37408,59034,126082,-8382,111018,-2829,128911,.26332048,.28482512,-.021504659,.033501294,.11963538,.086134084,quarterly
2009-10-15,2009 Q4,454145,388677,15633,28406,44039,106335,32235,55497,128574,-4970,111305,805,127769,.27358192,.28636888,-.012786967,.040221058,.11330488,.073083818,quarterly
2010-1-15,2010 Q1,457058,394878,14980,28097,43077,105091,31743,53941,124345,-6542,111633,-2005,126350,.26613536,.28270251,-.016567143,.037935767,.10908939,.071153626,quarterly
2010-4-15,2010 Q2,461765,401588,16903,30844,47747,114748,33712,57488,132461,-5383,120131,-570,133031,.28573564,.29913992,-.013404285,.042090401,.11889549,.076805085,quarterly
2010-7-15,2010 Q3,465134,403451,13177,34574,47751,113510,37930,57303,132646,-12388,125898,-7552,140198,.28134766,.31205276,-.030705092,.032660719,.11835638,.085695662,quarterly
2010-10-15,2010 Q4,465290,406110,19196,29664,48860,120354,32882,58902,139278,-6810,127164,78,139200,.29635814,.31312698,-.016768856,.047267981,.12031223,.073044248,quarterly
2011-1-15,2011 Q1,466970,414242,18016,28559,46575,122321,31923,55758,138149,-2981,125302,4115,134034,.29528874,.30248502,-.0071962764,.043491486,.11243428,.068942793,quarterly
2011-4-15,2011 Q2,467370,411759,21563,31978,53541,128398,34306,62896,141289,-976,129374,7344,133945,.31182805,.31419834,-.0023703186,.052368011,.13002995,.077661932,quarterly
2011-7-15,2011 Q3,468942,414864,19944,35410,55354,128678,37790,66064,143139,-8792,137470,1885,141254,.3101691,.33136159,-.021192487,.048073586,.13342686,.08535327,quarterly
2011-10-15,2011 Q4,469556,419276,21900,30723,52623,130493,33651,61508,144350,-3088,133581,6011,138339,.31123412,.31859919,-.0073650768,.052232895,.12550922,.073276311,quarterly
2012-1-15,2012 Q1,472809,421447,21019,29895,50914,129054,33345,60479,142983,-3548,132602,5566,137417,.30621645,.31463507,-.008418615,.049873412,.1208076,.070934184,quarterly
2012-4-15,2012 Q2,472114,423697,20866,33231,54097,127157,36085,62716,140377,-6160,133317,1165,139212,.30011305,.31465176,-.014538691,.049247459,.12767851,.078431047,quarterly
2012-7-15,2012 Q3,477869,432624,18967,36250,55217,128192,39333,65166,143499,-8211,136403,538,142961,.29631272,.31529227,-.018979529,.043841764,.12763277,.083791003,quarterly
2012-10-15,2012 Q4,476834,434002,24383,30304,54687,128914,33305,64088,143704,-3271,132185,5028,138676,.29703549,.30457234,-.0075368318,.05618177,.12600634,.069824561,quarterly
2013-1-15,2013 Q1,479357,436035,24273,30906,55179,128775,33507,62414,139018,-3338,132113,3665,135353,.29533181,.30298716,-.0076553486,.055667549,.12654719,.070879631,quarterly
2013-4-15,2013 Q2,483211,440203,25329,35113,60442,137178,36678,67675,148219,-1323,138501,5833,142386,.31162441,.31462985,-.0030054315,.057539362,.13730483,.079765469,quarterly
2013-7-15,2013 Q3,487728,449241,20384,38907,59291,133999,40527,66227,144491,-9830,143829,-3292,147783,.29827866,.32016,-.021881351,.045374308,.13198039,.086606078,quarterly
2013-10-15,2013 Q4,490859,454857,24004,32964,56968,131838,35569,63418,143715,-10515,142353,-6207,149922,.28984493,.31296209,-.023117155,.05277263,.12524375,.072471127,quarterly
2014-1-15,2014 Q1,494629,459591,21756,32260,54016,126217,35347,60073,138364,-6871,133088,-3472,141836,.27462897,.28957921,-.014950249,.047337741,.11753058,.070192844,quarterly
2014-4-15,2014 Q2,497849,463641,23798,35580,59378,132161,37897,64967,143994,-3751,135912,-500,144494,.28505027,.29314059,-.0080903117,.051328506,.12806891,.076740406,quarterly
2014-7-15,2014 Q3,500658,468959,20127,40482,60609,130489,43380,67332,143961,-11548,142037,-8170,152131,.27825248,.30287722,-.024624754,.042918462,.12924157,.086323112,quarterly
2014-10-15,2014 Q4,503589,470817,26338,35930,62268,136457,39306,67402,150480,-6763,143220,-5776,156256,.28983024,.30419463,-.014364392,.055941056,.13225521,.076314151,quarterly
2015-1-15,2015 Q1,506314,473838,21795,34977,56772,125810,38934,61911,141038,-11748,137558,-13204,154242,.26551268,.29030597,-.024793284,.045996733,.1198131,.073816366,quarterly
2015-4-15,2015 Q2,510095,480944,22823,38812,61635,135340,43078,67879,152543,-1389,136729,-1359,153902,.28140491,.28429297,-.0028880702,.047454588,.12815422,.080699623,quarterly
2015-7-15,2015 Q3,512070,481713,16585,42721,59306,127123,47117,66522,146842,-12392,139515,-12224,159066,.26389781,.28962266,-.025724862,.034429215,.1231148,.088685587,quarterly
2015-10-15,2015 Q4,515430,483146,26647,37317,63964,135093,41707,68236,152523,-2743,137836,-7168,159691,.27961114,.28528851,-.0056773727,.055153102,.13239062,.077237524,quarterly
2016-1-15,2016 Q1,516456,489770,22492,36641,59133,128139,40465,63893,144466,-8960,137099,-12650,157116,.26163098,.27992526,-.018294301,.045923598,.12073626,.074812666,quarterly
2016-4-15,2016 Q2,518794,497175,25896,40151,66047,140888,42737,71595,156464,-2674,143562,-3240,159704,.28337708,.28875548,-.0053783879,.052086286,.13284457,.080758281,quarterly
2016-7-15,2016 Q3,520379,500613,18434,49451,67885,139622,49295,70653,148256,-21884,161506,-22371,170627,.27890205,.32261646,-.043714408,.036822855,.13560376,.098780893,quarterly
2016-10-15,2016 Q4,523484,507154,29897,42731,72628,154599,43645,74382,160012,-2595,157194,-4184,164196,.30483639,.30995318,-.0051167891,.058950536,.143207,.084256455,quarterly
2017-1-15,2017 Q1,526081,512085,25370,41047,66417,149406,42211,68067,154108,-8810,158216,-9718,163826,.29176015,.30896434,-.017204175,.049542557,.12969917,.080156617,quarterly
2017-4-15,2017 Q2,527622,513953,27030,45374,72404,156408,45805,73733,161746,-4330,160738,-3992,165738,.30432355,.31274843,-.0084248949,.052592359,.1408767,.088284336,quarterly
2017-7-15,2017 Q3,529856,517482,23067,51515,74582,156496,50714,76518,161904,-12958,169454,-10337,172241,.30241826,.32745874,-.025040485,.044575464,.14412482,.099549353,quarterly
2017-10-15,2017 Q4,531737,525237,30029,43228,73257,160558,43733,74189,164385,-3791,164349,-2707,167092,.30568677,.31290445,-.0072176941,.057172287,.13947418,.082301892,quarterly
2018-1-15,2018 Q1,532104,527869,27532,44394,71926,156714,44976,73185,160977,-6058,162772,-4927,165904,.29688048,.30835682,-.011476332,.05215688,.13625729,.08410041,quarterly
2018-4-15,2018 Q2,534140,532966,28688,48772,77460,164975,49076,77108,165149,-1936,166911,-3020,168169,.30954131,.31317383,-.0036325019,.053827073,.1453376,.091510527,quarterly
2018-7-15,2018 Q3,537326,539287,23477,55359,78836,166527,54299,79059,164735,-10878,177405,-9893,174628,.30879104,.32896212,-.020171078,.043533407,.14618561,.10265221,quarterly
2018-10-15,2018 Q4,538222,541670,31659,50588,82247,173385,50762,81117,170740,-6615,180000,-7647,178387,.32009342,.33230564,-.012212233,.058447026,.15183969,.093392655,quarterly
2019-1-15,2019 Q1,541195,548802,24062,46693,70755,161313,47183,71550,162059,-25606,186919,-25497,187556,.29393661,.34059459,-.046657994,.043844592,.12892628,.085081689,quarterly
2019-4-15,2019 Q2,541944,551964,27299,52005,79304,164104,50680,77793,160935,-6078,170182,-7120,168055,.29730925,.30832082,-.011011587,.049457937,.14367604,.094218098,quarterly
2019-7-15,2019 Q3,544639,558286,20018,62080,82098,174748,58111,81057,170948,-12377,187125,-8280,179228,.31300804,.33517766,-.02216964,.035856172,.14705366,.11119749,quarterly
2019-10-15,2019 Q4,544733,559387,31954,52209,84163,189109,51434,81438,185244,16591,172518,14211,171033,.3380647,.30840546,.029659253,.057123244,.15045577,.093332522,quarterly
2020-1-15,2020 Q1,528287,554315,26751,46454,73205,156024,46796,70362,153359,-1975,157999,-4420,157779,.28147173,.28503469,-.0035629561,.048259564,.1320639,.083804332,quarterly
2020-4-15,2020 Q2,429219,476341,31161,37830,68991,140540,36411,64312,140359,20204,120336,19149,121210,.29504073,.25262573,.042414993,.065417424,.14483532,.079417899,quarterly
2020-7-15,2020 Q3,497909,540164,30223,36425,66648,140128,34255,64822,138995,-2540,142668,-1307,140302,.2594175,.26411977,-.0047022756,.055951525,.12338475,.067433223,quarterly
